article_name,author_name,section_name,date,summary_text,article_url,author_url,section_url
John Cale’s Inventive Retrospection,Amanda Petrusich,Pop Music,2017-01-30,The experimental musician and co-founder of the Velvet Underground reinterprets his back catalogue.,http://www.newyorker.com/magazine/2017/01/30/john-cales-inventive-retrospection,http://www.newyorker.com/contributors/amanda-petrusich,http://www.newyorker.com/magazine/pop-music
Paul Auster’s Novel of Chance,Laura Miller,Books,2017-01-30,"In “4 3 2 1,” one man’s life unfolds along four diverging narrative arcs.",http://www.newyorker.com/magazine/2017/01/30/paul-austers-novel-of-chance,http://www.newyorker.com/contributors/laura-miller,http://www.newyorker.com/magazine/books-tag
Briefly Noted,,Books,2017-01-30,"“The Original Black Elite,” “The Genius of Judaism,” “Moonglow,” and “The Animators.”",http://www.newyorker.com/magazine/2017/01/30/the-original-black-elite-the-genius-of-judaism-moonglow-and-the-animators,,http://www.newyorker.com/magazine/books-tag
Marisa Merz’s Factory of Dreams,Peter Schjeldahl,The Art World,2017-01-30,A retrospective at the Met Breuer reveals that the least-known and only female member of Arte Povera is also among the best.,http://www.newyorker.com/magazine/2017/01/30/marisa-merzs-factory-of-dreams,http://www.newyorker.com/contributors/peter-schjeldahl,http://www.newyorker.com/magazine/the-art-world
"Martin McDonagh’s Repressed, Explosive World",Hilton Als,The Theatre,2017-01-30,"“The Beauty Queen of Leenane” shows the mutual hatred and dependence that bind a mother and daughter, and England and Ireland.",http://www.newyorker.com/magazine/2017/01/30/martin-mcdonaghs-repressed-explosive-world,http://www.newyorker.com/contributors/hilton-als,http://www.newyorker.com/magazine/the-theatre
“The Salesman” and “Split”,Anthony Lane,The Current Cinema,2017-01-30,"Asghar Farhadi’s film, with Taraneh Alidoosti and  Shahab Hosseini, and M. Night Shyamalan’s movie, starring James McAvoy.",http://www.newyorker.com/magazine/2017/01/30/the-salesman-and-split,http://www.newyorker.com/contributors/anthony-lane,http://www.newyorker.com/magazine/the-current-cinema
Bitterness and Resentment at Trump’s Inauguration,Amy Davidson,Comment,2017-01-30,The forty-fifth President affirmed not the continuity of America’s Democratic progress but his contempt for its non-Trumpian past.,http://www.newyorker.com/magazine/2017/01/30/bitterness-and-resentment-at-trumps-inauguration,http://www.newyorker.com/contributors/amy-davidson,http://www.newyorker.com/magazine/comment
Philip Roth E-Mails on Trump,Judith Thurman,What-If Dept.,2017-01-30,"In 2004, the writer published “The Plot Against America,” about an election that upends the country. Has it happened here?",http://www.newyorker.com/magazine/2017/01/30/philip-roth-e-mails-on-trump,http://www.newyorker.com/contributors/judith-thurman,http://www.newyorker.com/magazine/what-if-dept
Creative Types Learn to Shoot Guns,Emma Allen,Head Shots,2017-01-30,"At Westside Rifle & Pistol Range, a group of newbie marksmen fire at targets featuring photos of them in the name of art.",http://www.newyorker.com/magazine/2017/01/30/creative-types-learn-to-shoot-guns,http://www.newyorker.com/contributors/emma-allen,http://www.newyorker.com/magazine/head-shots
Daniel Barenboim’s New York Anniversary,Adam Gopnik,Encore Dept.,2017-01-30,"The matchless Argentine-Israeli pianist and conductor celebrates sixty years since his first appearance in the city, at fourteen.",http://www.newyorker.com/magazine/2017/01/30/daniel-barenboims-new-york-anniversary,http://www.newyorker.com/contributors/adam-gopnik,http://www.newyorker.com/magazine/encore-dept
Pete Holmes Improvises His Life,Andrew Marantz,Tragedy Plus Time,2017-01-30,"The comedian plays himself in the HBO series “Crashing,” produced by Judd Apatow.",http://www.newyorker.com/magazine/2017/01/30/pete-holmes-improvises-his-life,http://www.newyorker.com/contributors/andrew-marantz,http://www.newyorker.com/magazine/tragedy-plus-time
How Technology Politicized Visual Culture,,Art,2017-01-30,The International Center of Photography’s exhibition “Perpetual Revolution: The Image and Social Change” examines images spanning a century and a half.,http://www.newyorker.com/magazine/2017/01/30/how-technology-politicized-visual-culture,,http://www.newyorker.com/magazine/art
Stravinsky’s “The Fairy’s Kiss”,Joan Acocella,Dance,2017-01-30,Alexei Ratmansky reconceives a ballet that many choreographers have struggled with.,http://www.newyorker.com/magazine/2017/01/30/stravinskys-the-fairys-kiss,http://www.newyorker.com/contributors/joan-acocella,http://www.newyorker.com/magazine/dance
The Visual Artists Who Inspired Brahms,Russell Platt,CLASSICAL MUSIC,2017-01-30,"At the Met, Leon Botstein explores how the composer’s relationships with the painters of his time shaped his work.",http://www.newyorker.com/magazine/2017/01/30/the-visual-artists-who-inspired-brahms,http://www.newyorker.com/contributors/russell-platt,http://www.newyorker.com/magazine/classical-music-2
The Second Coming of a Burger Empire,Shauna Lyon,Tables for Two,2017-01-30,"Salvation Burger reopens after a damaging fire, and Black Tap serves delicious burgers that outshine its ridiculous milkshakes.",http://www.newyorker.com/magazine/2017/01/30/the-second-coming-of-a-burger-empire,http://www.newyorker.com/contributors/shauna-lyon,http://www.newyorker.com/magazine/tables-for-two
The Little Fish of New York Standup,Talia Lavin,Bar Tab,2017-01-30,"The Creek and the Cave is a sprawling comedy complex that includes a Mexican restaurant, a theatre, a podcast operation, and a bar.",http://www.newyorker.com/magazine/2017/01/30/the-little-fish-of-new-york-standup,http://www.newyorker.com/contributors/talia-lavin,http://www.newyorker.com/magazine/bar-tab
The Head of a Dancer,Mary Jo Bang,,2017-01-30,,http://www.newyorker.com/magazine/2017/01/30/the-head-of-a-dancer,,
“Tiny”,Simon Armitage,,2017-01-30,,http://www.newyorker.com/magazine/2017/01/30/tiny,,
Behind the Cellar Door,John Seabrook,Personal History,2017-01-23,"Learning how to drink, and how to stop.",http://www.newyorker.com/magazine/2017/01/23/behind-the-cellar-door,http://www.newyorker.com/contributors/john-seabrook,http://www.newyorker.com/magazine/personal-history
The Deportees Taking Our Calls,Jonathan Blitzer,Letter from El Salvador,2017-01-23,How American immigration policy has fuelled an unlikely industry in El Salvador.,http://www.newyorker.com/magazine/2017/01/23/the-deportees-taking-our-calls,http://www.newyorker.com/contributors/jonathan-blitzer,http://www.newyorker.com/magazine/letter-from-el-salvador
The Heroism of Incremental Care,Atul Gawande,Annals of Medicine,2017-01-23,"We devote vast resources to intensive, one-off procedures, while starving the kind of steady, intimate care that often helps people more.",http://www.newyorker.com/magazine/2017/01/23/the-heroism-of-incremental-care,http://www.newyorker.com/contributors/atul-gawande,http://www.newyorker.com/magazine/annals-of-medicine
Can Behavioral Science Help in Flint?,Sarah Stillman,Profiles,2017-01-23,An unusual team of White House scientists works through the final days of the Obama Administration.,http://www.newyorker.com/magazine/2017/01/23/can-behavioral-science-help-in-flint,http://www.newyorker.com/contributors/sarah-stillman,http://www.newyorker.com/magazine/profiles
You Never Really Know,Jesse Eisenberg,Shouts & Murmurs,2017-01-23,"I once saw a swan and thought, All of the other ducks used to laugh and call you names.",http://www.newyorker.com/magazine/2017/01/23/you-never-really-know,http://www.newyorker.com/contributors/jesse-eisenberg,http://www.newyorker.com/magazine/shouts-murmurs
Constructed Worlds,Elif Batuman,Fiction,2017-01-23,"Fiction: “Every time I looked up, Einstein seemed to be looking back at me in an expectant way, as if to say, Now what?”",http://www.newyorker.com/magazine/2017/01/23/constructed-worlds,http://www.newyorker.com/contributors/elif-batuman,http://www.newyorker.com/magazine/fiction
How Jokes Won the Election,Emily Nussbaum,On Television,2017-01-23,How do you fight an enemy who’s just kidding?,http://www.newyorker.com/magazine/2017/01/23/how-jokes-won-the-election,http://www.newyorker.com/contributors/emily-nussbaum,http://www.newyorker.com/magazine/on-television
A Neglected South American Masterpiece,Benjamin Kunkel,Books,2017-01-23,"It took sixty years for Antonio Di Benedetto’s novel “Zama,” recognized in the Spanish-speaking world as a classic, to be translated into English.",http://www.newyorker.com/magazine/2017/01/23/a-neglected-south-american-masterpiece,http://www.newyorker.com/contributors/benjamin-kunkel,http://www.newyorker.com/magazine/books-tag
Briefly Noted,,Books,2017-01-23,"“Bellevue,” “Naming Thy Name,” “Enigma Variations,” and “The Strays.”",http://www.newyorker.com/magazine/2017/01/23/bellevue-naming-thy-name-enigma-variations-the-strays,,https://www.newyorker.com/magazine/books-tag
Run the Jewels Finds a New Purpose,Hua Hsu,Pop Music,2017-01-23,"Trump is only alluded to on “Run the Jewels 3.” But, in its note of political refusal, it feels like a protest album.",http://www.newyorker.com/magazine/2017/01/23/run-the-jewels-finds-a-new-purpose,http://www.newyorker.com/contributors/hua-hsu,http://www.newyorker.com/magazine/pop-music
Julius Eastman’s Guerrilla Minimalism,Alex Ross,Musical Events,2017-01-23,"The composer, whose brazen and brilliant music was all but forgotten at century’s end, is finally getting his due.",http://www.newyorker.com/magazine/2017/01/23/julius-eastmans-guerrilla-minimalism,http://www.newyorker.com/contributors/alex-ross,http://www.newyorker.com/magazine/musical-events
President Obama’s Memorable Parting Words,George Packer,Comment,2017-01-23,Politicians are always letting the public off the hook—it might be the most unforgivably dishonest thing they do. Obama was more candid.,http://www.newyorker.com/magazine/2017/01/23/president-obamas-memorable-parting-words,http://www.newyorker.com/contributors/george-packer,http://www.newyorker.com/magazine/comment
J.F.K.’s New Animal Terminal,Lizzie Widdicombe,Here To There Dept.,2017-01-23,"The ARK offers luxurious amenities: climate-controlled stalls for horses, and, for dogs, a bone-shaped splashing pool and a spa that gives “pawdicures.”",http://www.newyorker.com/magazine/2017/01/23/jfks-new-animal-terminal,http://www.newyorker.com/contributors/lizzie-widdicombe,http://www.newyorker.com/magazine/here-to-there-dept
